"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";"In3.Cu (mm)";"In4.Cu (mm)";"B.Cu (mm)";
001;"Net-(PS1-REF)";2;0;0.0000;6.7280;0.0000;6.7280;6.7280;0.0000;0.0000;0.0000;0.0000;0.0000;
002;"Net-(PS1-COMP)";2;0;0.0000;4.4959;0.0000;4.4959;4.4959;0.0000;0.0000;0.0000;0.0000;0.0000;
003;"/PG6";3;2;1.6290;26.3761;0.0000;28.0051;0.0000;0.0000;15.8914;0.0000;0.0000;10.4847;
004;"Net-(IC1-BYP)";2;0;0.0000;3.0452;0.0000;3.0452;3.0452;0.0000;0.0000;0.0000;0.0000;0.0000;
005;"Net-(C23-Pad2)";2;0;0.0000;5.9836;0.0000;5.9836;5.9836;0.0000;0.0000;0.0000;0.0000;0.0000;
006;"Net-(U2A-OUT)";4;0;0.0000;19.4786;0.0000;19.4786;19.4786;0.0000;0.0000;0.0000;0.0000;0.0000;
007;"Net-(JDAC1-Pin_2)";2;0;0.0000;9.3643;0.0000;9.3643;9.3643;0.0000;0.0000;0.0000;0.0000;0.0000;
008;"/NRST";10;5;3.8025;181.3871;0.0000;185.1896;1.0272;0.0000;22.6133;23.9160;62.2607;71.5699;
009;"Net-(JDAC1-Pin_3)";2;0;0.0000;9.4529;0.0000;9.4529;9.4529;0.0000;0.0000;0.0000;0.0000;0.0000;
010;"Net-(JP3-C)";2;0;0.0000;3.1054;0.0000;3.1054;0.0000;0.0000;0.0000;0.0000;0.0000;3.1054;
011;"/PB13";3;3;2.3085;50.4686;0.0000;52.7771;1.1753;0.0000;5.5252;39.6922;2.5400;1.5359;
012;"/PB12";3;2;1.6290;50.0555;0.0000;51.6845;1.4988;43.4725;0.0000;2.5400;0.0000;2.5442;
013;"+5V";10;2;2.9880;203.5626;0.0000;206.5506;200.6376;0.0000;0.0000;0.0000;0.0000;2.9250;
014;"-5V";4;0;0.0000;66.0680;0.0000;66.0680;66.0680;0.0000;0.0000;0.0000;0.0000;0.0000;
015;"Net-(JP2-C)";2;2;2.9880;8.7198;0.0000;11.7078;3.2274;0.0000;0.0000;0.0000;0.0000;5.4923;
016;"Net-(JP3-B)";2;1;0.0000;15.7159;0.0000;15.7159;0.0000;0.0000;0.0000;0.0000;0.0000;15.7159;
017;"/PD11";2;2;1.6290;16.2145;0.0000;17.8435;0.0000;0.0000;15.2219;0.0000;0.0000;0.9926;
018;"/PD12";2;2;2.7180;21.7372;0.0000;24.4552;0.0000;15.1208;0.0000;0.0000;0.0000;6.6164;
019;"Net-(J1-Pad32)";2;0;0.0000;2.3886;0.0000;2.3886;2.3886;0.0000;0.0000;0.0000;0.0000;0.0000;
021;"/PD13";2;2;1.6290;16.3780;0.0000;18.0070;0.0000;0.0000;15.4252;0.0000;0.0000;0.9528;
022;"Net-(UFLASH1-~{ECS})";2;0;0.0000;8.5519;0.0000;8.5519;0.0000;0.0000;0.0000;0.0000;0.0000;8.5519;
023;"Net-(U2A-IN-)";4;0;0.0000;9.5280;0.0000;9.5280;9.5280;0.0000;0.0000;0.0000;0.0000;0.0000;
024;"Net-(U2B-IN-)";4;2;2.9880;13.4808;0.0000;16.4688;8.2020;0.0000;0.0000;0.0000;0.0000;5.2789;
025;"Net-(U2B-OUT)";4;0;0.0000;9.1813;0.0000;9.1813;9.1813;0.0000;0.0000;0.0000;0.0000;0.0000;
026;"Net-(C31-Pad1)";3;0;0.0000;7.5694;0.0000;7.5694;0.0000;0.0000;0.0000;0.0000;0.0000;7.5694;
027;"Net-(C33-Pad2)";3;0;0.0000;7.3445;0.0000;7.3445;0.0000;0.0000;0.0000;0.0000;0.0000;7.3445;
028;"Net-(C32-Pad2)";3;0;0.0000;7.2658;0.0000;7.2658;0.0000;0.0000;0.0000;0.0000;0.0000;7.2658;
029;"Net-(D1-K)";3;0;0.0000;5.3333;0.0000;5.3333;5.3333;0.0000;0.0000;0.0000;0.0000;0.0000;
030;"Net-(JP4-C)";2;0;0.0000;14.1317;0.0000;14.1317;14.1317;0.0000;0.0000;0.0000;0.0000;0.0000;
032;"Net-(U2A-IN+)";3;0;0.0000;5.8496;0.0000;5.8496;5.8496;0.0000;0.0000;0.0000;0.0000;0.0000;
033;"Net-(U2B-IN+)";3;0;0.0000;6.6737;0.0000;6.6737;6.6737;0.0000;0.0000;0.0000;0.0000;0.0000;
