Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C31, C32, C33",0603,4,PGB1010603,
"C10, C11, C12, C13, C14, C2, C20, C36, C37, C5, C7, C8, C9",0805,13,100nF,
"C15, C3",CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,2,47uF Tant. 25V,
C16,CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,1,"1uF, Tant. 25V",
C17,CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,1,100uF Tant. 25V,
"C18, C34, C38",0805,3,4.7uF low ESR,
C19,0805,1,1uF,
"C21, C4",CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,2,10uF Tant. 25V,
"C22, C23, C26, C27, C29, C30, C35",0805,7,10uF,
"C24, C25",0805,2,1nF,
C28,0805,1,220pF,
C6,0805,1,optional: 82pF,
D1,D_SOD-123F,1,PMEG2010AEH,
FB1,0603,1,FBMJ1608,
FB2,0603,1,FCM1608,
"I2C2_1, I2C3_1, I2C4_1, JDAC1, JGPIO1, JTIM1, JUART1",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,7,Conn_01x03_Socket,
IC1,SOT95P275X120-5N,1,NCP700BSN33T1G,
J1,CON50_2X25_UF_FLE_SAI,1,FLE-125-01-G-DV,
"JADC1, JPOWER1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Socket,
JFRAME1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
JRadio1,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
JSWD1,CON10_2X5_DUK_FTSH_SAI-M,1,FTSH-105-01-L-DV-K,
L1,1812,1,10uH,
L2,L_Murata_DFE201610P,1,2.2uH,
PS1,SOIC127P600X175-8N,1,TPS6735ID,
"R1, R10, R11, R12, R13, R14, R2, R3, R4, R6, R7, R8, R9",0805,13,10k,
"R15, R16, R17, R18, R19, R20",0805,6,4.7k,
"R21, R22, R23",0805,3,22R,
R24,0805,1,0R,
R5,0805,1,5k1,
SW1,SW_SPST_Omron_B3FS-100xP,1,SW_Omron_B3FS,
"TP1, TP2, TP3, TP4, TP5, TP6, TP_VDD_SDC_1",Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork,7,TestPoint,
U1,TO-220-3_Horizontal_TabDown_GND_Pad,1,L7805,
U2,OPA1678_L,1,OPA1678IDGKT,
U3,BGA_735IGK6_STM,1,STM32H735IGK6,
UFLASH1,BGA24C100P5X5_600X800X120,1,MX25LM51245GXDI00,
UHYPERRAM1,TFBGA24_6X8_ISI,1,IS66WVH16M8DBLL-100B1LI,
X1,NSC5004_NDK,1,NSC5004A-25M,
