Designator,Mid X,Mid Y,Rotation,Layer
C1,100.4909,-88.9689,270.0,bottom
C10,154.0079,-93.2469,270.0,bottom
C11,168.6329,-79.9219,180.0,bottom
C12,131.5829,-76.6094,180.0,bottom
C13,104.7679,-118.6089,180.0,top
C14,141.9829,-98.1219,270.0,bottom
C15,113.4039,-111.4969,270.0,top
C16,139.0579,-111.4969,270.0,top
C17,144.3919,-111.4969,270.0,top
C18,142.6329,-88.6969,180.0,bottom
C19,109.0859,-118.6089,0.0,top
C2,97.9509,-88.9904,90.0,bottom
C20,122.4605,-118.9841,270.0,top
C21,118.4839,-116.3229,90.0,top
C22,172.0219,-73.7359,0.0,top
C23,185.9919,-72.7199,0.0,top
C24,181.9279,-74.7519,90.0,top
C25,193.8659,-76.0219,90.0,top
C26,197.4219,-72.9739,0.0,top
C27,197.4219,-75.2599,0.0,top
C28,136.1329,-87.3344,180.0,bottom
C29,135.1579,-84.0844,270.0,bottom
C3,96.9367,-107.3309,270.0,top
C30,131.5829,-83.1094,0.0,bottom
C31,97.4129,-76.5899,180.0,bottom
C32,97.4129,-72.2049,0.0,bottom
C33,97.4129,-67.8149,0.0,bottom
C34,154.6579,-88.6969,0.0,bottom
C35,135.1579,-64.6469,0.0,top
C36,135.1579,-62.1728,0.0,top
C37,130.607181,-52.947013,180.0,top
C38,154.6579,-75.0469,0.0,bottom
C4,131.1839,-112.5129,180.0,top
C5,96.8939,-114.2909,270.0,top
C6,126.0162,-118.9792,270.0,top
C7,148.4829,-102.9969,0.0,bottom
C8,161.8079,-86.7469,0.0,bottom
C9,141.9829,-93.8969,90.0,bottom
D1,136.615,-118.6709,270.0,top
FB1,131.9079,-81.1594,180.0,bottom
FB2,131.9079,-74.3344,180.0,bottom
I2C2_1,122.0769,-54.7129,0.0,bottom
I2C3_1,110.6869,-54.6959,0.0,bottom
I2C4_1,99.2569,-54.6959,0.0,bottom
IC1,113.5919,-118.7339,270.0,top
J1,162.0843,-55.5679,180.0,top
JADC1,206.1509,-96.2436,90.0,bottom
JDAC1,206.1329,-72.4469,90.0,bottom
JFRAME1,196.2579,-94.2219,90.0,bottom
JGPIO1,206.1509,-107.5109,90.0,bottom
JPOWER1,89.3109,-104.4629,270.0,bottom
JRadio1,184.2329,-55.8719,270.0,bottom
JSWD1,89.6579,-72.7719,90.0,bottom
JTIM1,196.3657,-107.6728,90.0,bottom
JUART1,206.1509,-85.1219,90.0,bottom
L1,141.1998,-118.3549,0.0,top
L2,137.4329,-83.7594,270.0,bottom
PS1,131.4713,-118.126,0.0,top
R1,168.6329,-77.6469,0.0,bottom
R10,190.0829,-80.8479,270.0,top
R11,181.9279,-78.8159,90.0,top
R12,192.3689,-80.8479,90.0,top
R13,179.6419,-74.7359,270.0,top
R14,191.5799,-76.0059,270.0,top
R15,97.4329,-63.0219,180.0,top
R16,109.1579,-63.0219,180.0,top
R17,120.1829,-63.0219,180.0,top
R18,97.4169,-60.7359,180.0,top
R19,109.1579,-60.7359,180.0,top
R2,142.3329,-102.9969,180.0,bottom
R20,120.1829,-60.7359,180.0,top
R21,97.7829,-78.6219,0.0,bottom
R22,97.7829,-74.2369,0.0,bottom
R23,97.7829,-69.8469,0.0,bottom
R24,144.2579,-53.2719,0.0,top
R3,154.3329,-102.9969,0.0,bottom
R4,131.5829,-78.8844,180.0,bottom
R5,138.4079,-94.5469,270.0,bottom
R6,135.8079,-94.5719,270.0,bottom
R7,176.3399,-73.7359,180.0,top
R8,190.0559,-72.7199,0.0,top
R9,179.6419,-78.8159,270.0,top
SW1,91.2829,-88.9329,0.0,bottom
TP1,97.1079,-119.5719,0.0,top
TP2,205.9829,-54.5719,0.0,top
TP3,118.5579,-110.1469,0.0,top
TP4,148.5199,-108.9458,0.0,top
TP5,123.4329,-110.1469,0.0,top
TP6,87.3579,-94.5469,0.0,top
TP_VDD_SDC_1,129.2829,-86.0969,0.0,top
U1,105.2959,-105.6113,0.0,top
U2,187.0079,-76.0219,0.0,top
U3,148.1579,-81.8719,180.0,bottom
UFLASH1,148.4329,-96.4969,180.0,bottom
UHYPERRAM1,162.7829,-81.2719,0.0,bottom
X1,136.9579,-79.5344,270.0,bottom
