Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C16, C17, C18, C2, C21, C22, C3, C4, C5, C8, C9",0603,14,100nF,
"C11, C12, C13, C14",0603,4,47nF,
"C19, C20",0603,2,1.5nF,
"C23, C24, C7",0603,3,1uF,
C6,0603,1,10uF,
Ctrl,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
D1,D_SOD-123,1,1N4148W,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5_DIN965_Pad_TopBottom,4,MountingHole_Pad,
IC1,SOP65P640X110-16N,1,FST3253MTCX,
IQ_Balance,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03,
"I_In_Tx, Q_In_Tx",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
I_Out,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,I_Out,
K1,G6K-2F-Y DC3_OMR,1,G6K-2F-Y DC3,
"L1, L2, L3",0805,3,100u,
"Q_Out, Tx",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,2,Q_Out,
"R1, R6",0603,2,100R,
"R10, R11, R12, R13, R9",0603,5,47R,
"R14, R15, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27",0603,12,10k 1%,
"R16, R17, R3, R4, R7, R8",0603,6,10k,
R2,0603,1,0R,
R5,0603,1,DNF,
"RF_In, RF_Out",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
Supply,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Supply,
U1,PG-SOT343-4-1_INF,1,BGA420H6327XTSA1,
U2,74AC74-L,1,SN74AC74PWR,
U3,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,
U4,SOT-23-6-DBV_TEX,1,TXU0101DBVR,
"U5, U6",TSSOP16_5P1X4P5_NEX,2,4053,
"U7, U8, U9",OPA1678_L,3,OPA1678IDGKT,
Y1,XTAL_ECS-250-8-30B-CKM,1,ECS-250-8-30B-CKM,
